Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer::drawRangeLine(java.awt.Graphics2D, org.jfree.chart.plot.CategoryPlot, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D, double, java.awt.Paint, java.awt.Stroke):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer::drawRangeLine(java.awt.Graphics2D, org.jfree.chart.plot.CategoryPlot, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D, double, java.awt.Paint, java.awt.Stroke):void	org.jfree.chart.plot.CategoryPlot	0/2	
Move Method	org.jfree.chart.renderer.xy.AbstractXYItemRenderer::drawDomainLine(java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D, double, java.awt.Paint, java.awt.Stroke):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.renderer.xy.AbstractXYItemRenderer::drawDomainLine(java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D, double, java.awt.Paint, java.awt.Stroke):void	org.jfree.chart.plot.XYPlot	0/2	
Move Method	org.jfree.chart.block.CenterArrangement::arrangeFN(org.jfree.chart.block.BlockContainer, java.awt.Graphics2D, org.jfree.chart.block.RectangleConstraint):org.jfree.ui.Size2D	org.jfree.chart.block.BlockContainer	0/1	
Move Method	org.jfree.chart.block.CenterArrangement::arrangeFN(org.jfree.chart.block.BlockContainer, java.awt.Graphics2D, org.jfree.chart.block.RectangleConstraint):org.jfree.ui.Size2D	org.jfree.chart.block.RectangleConstraint	0/1	
Move Method	org.jfree.chart.block.CenterArrangement::arrangeNN(org.jfree.chart.block.BlockContainer, java.awt.Graphics2D):org.jfree.ui.Size2D	org.jfree.chart.block.BlockContainer	0/1	
Move Method	org.jfree.chart.renderer.category.CategoryStepRenderer::drawLine(java.awt.Graphics2D, org.jfree.chart.renderer.category.CategoryStepRenderer.State, org.jfree.chart.plot.PlotOrientation, double, double, double, double):void	org.jfree.chart.renderer.category.CategoryStepRenderer.State	0/1	
Move Method	org.jfree.chart.renderer.category.BarRenderer::calculateSeriesWidth(double, org.jfree.chart.axis.CategoryAxis, int, int):double	org.jfree.chart.axis.CategoryAxis	1/3	
Move Method	org.jfree.chart.renderer.category.LevelRenderer::calculateSeriesWidth(double, org.jfree.chart.axis.CategoryAxis, int, int):double	org.jfree.chart.axis.CategoryAxis	1/3	
Move Method	org.jfree.chart.renderer.xy.AbstractXYItemRenderer::updateCrosshairValues(org.jfree.chart.plot.CrosshairState, double, double, int, int, double, double, org.jfree.chart.plot.PlotOrientation):void	org.jfree.chart.plot.CrosshairState	1/3	
Move Method	org.jfree.chart.renderer.xy.XYLineAndShapeRenderer::drawPrimaryLine(org.jfree.chart.renderer.xy.XYItemRendererState, java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.data.xy.XYDataset, int, int, int, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D):void	org.jfree.chart.plot.XYPlot	1/3	
Move Method	org.jfree.chart.renderer.xy.XYLineAndShapeRenderer::drawPrimaryLineAsPath(org.jfree.chart.renderer.xy.XYItemRendererState, java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.data.xy.XYDataset, int, int, int, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D):void	org.jfree.chart.plot.XYPlot	1/3	
Move Method	org.jfree.data.general.WaferMapDataset::getUniqueValues():java.util.Set	org.jfree.data.DefaultKeyedValues2D	1/3	
Move Method	org.jfree.data.general.WaferMapDataset::getChipValue(java.lang.Comparable, java.lang.Comparable):java.lang.Number	org.jfree.data.DefaultKeyedValues2D	1/3	
Move Method	org.jfree.chart.axis.ModuloAxis::mapValueToFixedRange(double):double	org.jfree.data.Range	1/2	
Move Method	org.jfree.chart.plot.PolarPlot::refreshAngleTicks():java.util.List	org.jfree.chart.axis.TickUnit	1/2	
Move Method	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer::updateCrosshairValues(org.jfree.chart.plot.CategoryCrosshairState, java.lang.Comparable, java.lang.Comparable, double, int, double, double, org.jfree.chart.plot.PlotOrientation):void	org.jfree.chart.plot.CategoryCrosshairState	1/2	
Move Method	org.jfree.chart.StandardChartTheme::applyToSpiderWebPlot(org.jfree.chart.plot.SpiderWebPlot):void	org.jfree.chart.plot.SpiderWebPlot	2/3	
